"DataRef";"Vencimento";"DU";"Taxa"
"2022-01-14";2022-01-17;1;9,15
"2022-01-14";2022-02-01;12;9,152
"2022-01-14";2022-03-02;31;9,97
"2022-01-14";2022-04-01;53;10,506
"2022-01-14";2022-05-02;72;10,865
"2022-01-14";2022-06-01;94;11,225
"2022-01-14";2022-07-01;115;11,455
"2022-01-14";2022-08-01;136;11,606
"2022-01-14";2022-09-01;159;11,76
"2022-01-14";2022-10-03;180;11,825
"2022-01-14";2022-11-01;200;11,907
"2022-01-14";2022-12-01;220;11,935
"2022-01-14";2023-01-02;242;11,94
"2022-01-14";2023-04-03;305;11,935
"2022-01-14";2023-07-03;366;11,895
"2022-01-14";2023-10-02;430;11,757
"2022-01-14";2024-01-02;491;11,59
"2022-01-14";2024-04-01;552;11,521
"2022-01-14";2024-07-01;615;11,395
"2022-01-14";2024-10-01;681;11,315
"2022-01-14";2025-01-02;745;11,225
"2022-01-14";2025-04-01;806;11,202
"2022-01-14";2025-07-01;867;11,15
"2022-01-14";2025-10-01;933;11,194
"2022-01-14";2026-01-02;998;11,125
"2022-01-14";2026-04-01;1059;11,149
"2022-01-14";2026-07-01;1120;11,105
"2022-01-14";2026-10-01;1185;11,163
"2022-01-14";2027-01-04;1248;11,135
"2022-01-14";2028-01-03;1499;11,177
"2022-01-14";2029-01-02;1748;11,24
"2022-01-14";2030-01-02;1998;11,25
"2022-01-14";2031-01-02;2251;11,24
"2022-01-14";2033-01-03;2756;11,28
"2022-01-14";2035-01-02;3256;11,264
"2022-01-14";2036-01-02;3506;11,28
"2022-01-14";2037-01-02;3760;11,358
