"DataRef";"Vencimento";"DU";"Taxa"
"2021-11-05";2021-11-08;1;7,65
"2021-11-05";2021-12-01;17;7,666
"2021-11-05";2022-01-03;40;8,4
"2021-11-05";2022-02-01;61;8,75
"2021-11-05";2022-03-02;80;9,313
"2021-11-05";2022-04-01;102;9,92
"2021-11-05";2022-05-02;121;10,41
"2021-11-05";2022-06-01;143;10,798
"2021-11-05";2022-07-01;164;11,115
"2021-11-05";2022-08-01;185;11,39
"2021-11-05";2022-09-01;208;11,577
"2021-11-05";2022-10-03;229;11,74
"2021-11-05";2022-11-01;249;11,849
"2021-11-05";2022-12-01;269;11,946
"2021-11-05";2023-01-02;291;12,04
"2021-11-05";2023-04-03;354;12,065
"2021-11-05";2023-07-03;415;12,22
"2021-11-05";2023-10-02;479;12,218
"2021-11-05";2024-01-02;540;12,135
"2021-11-05";2024-04-01;601;12,132
"2021-11-05";2024-07-01;664;12,12
"2021-11-05";2024-10-01;730;12,11
"2021-11-05";2025-01-02;794;12,12
"2021-11-05";2025-04-01;855;12,114
"2021-11-05";2025-07-01;916;12,05
"2021-11-05";2025-10-01;982;12,077
"2021-11-05";2026-01-02;1047;12,07
"2021-11-05";2026-04-01;1108;12,099
"2021-11-05";2026-07-01;1169;12,049
"2021-11-05";2026-10-01;1234;12,086
"2021-11-05";2027-01-04;1297;12,09
"2021-11-05";2028-01-03;1548;12,18
"2021-11-05";2029-01-02;1797;12,07
"2021-11-05";2030-01-02;2047;12,095
"2021-11-05";2031-01-02;2300;12
"2021-11-05";2033-01-03;2805;12,01
"2021-11-05";2035-01-02;3305;11,995
"2021-11-05";2036-01-02;3555;11,995
"2021-11-05";2037-01-02;3809;12,073
