"DataRef";"Vencimento";"DU";"Taxa"
"2021-12-23";2021-12-24;1;9,15
"2021-12-23";2022-01-03;7;9,154
"2021-12-23";2022-02-01;28;9,155
"2021-12-23";2022-03-02;47;9,684
"2021-12-23";2022-04-01;69;10,18
"2021-12-23";2022-05-02;88;10,52
"2021-12-23";2022-06-01;110;10,85
"2021-12-23";2022-07-01;131;11,065
"2021-12-23";2022-08-01;152;11,22
"2021-12-23";2022-09-01;175;11,411
"2021-12-23";2022-10-03;196;11,505
"2021-12-23";2022-11-01;216;11,535
"2021-12-23";2022-12-01;236;11,566
"2021-12-23";2023-01-02;258;11,59
"2021-12-23";2023-04-03;321;11,545
"2021-12-23";2023-07-03;382;11,4
"2021-12-23";2023-10-02;446;11,16
"2021-12-23";2024-01-02;507;10,885
"2021-12-23";2024-04-01;568;10,8
"2021-12-23";2024-07-01;631;10,71
"2021-12-23";2024-10-01;697;10,639
"2021-12-23";2025-01-02;761;10,58
"2021-12-23";2025-04-01;822;10,564
"2021-12-23";2025-07-01;883;10,51
"2021-12-23";2025-10-01;949;10,506
"2021-12-23";2026-01-02;1014;10,48
"2021-12-23";2026-04-01;1075;10,523
"2021-12-23";2026-07-01;1136;10,497
"2021-12-23";2026-10-01;1201;10,558
"2021-12-23";2027-01-04;1264;10,53
"2021-12-23";2028-01-03;1515;10,57
"2021-12-23";2029-01-02;1764;10,62
"2021-12-23";2030-01-02;2014;10,685
"2021-12-23";2031-01-02;2267;10,63
"2021-12-23";2033-01-03;2772;10,62
"2021-12-23";2035-01-02;3272;10,605
"2021-12-23";2036-01-02;3522;10,59
"2021-12-23";2037-01-02;3776;10,668
