"DataRef";"Vencimento";"DU";"Taxa"
"2021-12-03";2021-12-06;1;7,65
"2021-12-03";2022-01-03;21;8,9
"2021-12-03";2022-02-01;42;9,062
"2021-12-03";2022-03-02;61;9,501
"2021-12-03";2022-04-01;83;9,975
"2021-12-03";2022-05-02;102;10,307
"2021-12-03";2022-06-01;124;10,6
"2021-12-03";2022-07-01;145;10,88
"2021-12-03";2022-08-01;166;11,041
"2021-12-03";2022-09-01;189;11,156
"2021-12-03";2022-10-03;210;11,23
"2021-12-03";2022-11-01;230;11,207
"2021-12-03";2022-12-01;250;11,264
"2021-12-03";2023-01-02;272;11,31
"2021-12-03";2023-04-03;335;11,3
"2021-12-03";2023-07-03;396;11,275
"2021-12-03";2023-10-02;460;11,173
"2021-12-03";2024-01-02;521;11,035
"2021-12-03";2024-04-01;582;11,003
"2021-12-03";2024-07-01;645;10,96
"2021-12-03";2024-10-01;711;10,92
"2021-12-03";2025-01-02;775;10,89
"2021-12-03";2025-04-01;836;10,866
"2021-12-03";2025-07-01;897;10,815
"2021-12-03";2025-10-01;963;10,87
"2021-12-03";2026-01-02;1028;10,88
"2021-12-03";2026-04-01;1089;10,924
"2021-12-03";2026-07-01;1150;10,892
"2021-12-03";2026-10-01;1215;10,944
"2021-12-03";2027-01-04;1278;10,96
"2021-12-03";2028-01-03;1529;10,985
"2021-12-03";2029-01-02;1778;11,02
"2021-12-03";2030-01-02;2028;11,075
"2021-12-03";2031-01-02;2281;11,01
"2021-12-03";2033-01-03;2786;10,97
"2021-12-03";2035-01-02;3286;10,955
"2021-12-03";2036-01-02;3536;10,91
"2021-12-03";2037-01-02;3790;10,988
