"DataRef";"Vencimento";"DU";"Taxa"
"2021-11-12";2021-11-16;1;7,65
"2021-11-12";2021-12-01;12;7,652
"2021-11-12";2022-01-03;35;8,472
"2021-11-12";2022-02-01;56;8,808
"2021-11-12";2022-03-02;75;9,37
"2021-11-12";2022-04-01;97;9,96
"2021-11-12";2022-05-02;116;10,85
"2021-11-12";2022-06-01;138;11,019
"2021-11-12";2022-07-01;159;11,115
"2021-11-12";2022-08-01;180;11,335
"2021-11-12";2022-09-01;203;11,524
"2021-11-12";2022-10-03;224;11,655
"2021-11-12";2022-11-01;244;11,766
"2021-11-12";2022-12-01;264;11,868
"2021-11-12";2023-01-02;286;11,965
"2021-11-12";2023-04-03;349;12,042
"2021-11-12";2023-07-03;410;12,05
"2021-11-12";2023-10-02;474;11,978
"2021-11-12";2024-01-02;535;11,88
"2021-11-12";2024-04-01;596;11,86
"2021-11-12";2024-07-01;659;11,83
"2021-11-12";2024-10-01;725;11,785
"2021-11-12";2025-01-02;789;11,74
"2021-11-12";2025-04-01;850;11,714
"2021-11-12";2025-07-01;911;11,63
"2021-11-12";2025-10-01;977;11,65
"2021-11-12";2026-01-02;1042;11,61
"2021-11-12";2026-04-01;1103;11,641
"2021-11-12";2026-07-01;1164;11,595
"2021-11-12";2026-10-01;1229;11,634
"2021-11-12";2027-01-04;1292;11,64
"2021-11-12";2028-01-03;1543;11,625
"2021-11-12";2029-01-02;1792;11,66
"2021-11-12";2030-01-02;2042;11,705
"2021-11-12";2031-01-02;2295;11,63
"2021-11-12";2033-01-03;2800;11,56
"2021-11-12";2035-01-02;3300;11,545
"2021-11-12";2036-01-02;3550;11,47
"2021-11-12";2037-01-02;3804;11,548
