"DataRef";"Vencimento";"DU";"Taxa"
"2021-12-17";2021-12-20;1;9,15
"2021-12-17";2022-01-03;11;9,148
"2021-12-17";2022-02-01;32;9,16
"2021-12-17";2022-03-02;51;9,645
"2021-12-17";2022-04-01;73;10,13
"2021-12-17";2022-05-02;92;10,49
"2021-12-17";2022-06-01;114;10,87
"2021-12-17";2022-07-01;135;11,125
"2021-12-17";2022-08-01;156;11,298
"2021-12-17";2022-09-01;179;11,5
"2021-12-17";2022-10-03;200;11,605
"2021-12-17";2022-11-01;220;11,666
"2021-12-17";2022-12-01;240;11,732
"2021-12-17";2023-01-02;262;11,79
"2021-12-17";2023-04-03;325;11,743
"2021-12-17";2023-07-03;386;11,61
"2021-12-17";2023-10-02;450;11,365
"2021-12-17";2024-01-02;511;11,095
"2021-12-17";2024-04-01;572;11,005
"2021-12-17";2024-07-01;635;10,9
"2021-12-17";2024-10-01;701;10,822
"2021-12-17";2025-01-02;765;10,755
"2021-12-17";2025-04-01;826;10,701
"2021-12-17";2025-07-01;887;10,607
"2021-12-17";2025-10-01;953;10,625
"2021-12-17";2026-01-02;1018;10,62
"2021-12-17";2026-04-01;1079;10,651
"2021-12-17";2026-07-01;1140;10,613
"2021-12-17";2026-10-01;1205;10,661
"2021-12-17";2027-01-04;1268;10,62
"2021-12-17";2028-01-03;1519;10,655
"2021-12-17";2029-01-02;1768;10,7
"2021-12-17";2030-01-02;2018;10,76
"2021-12-17";2031-01-02;2271;10,7
"2021-12-17";2033-01-03;2776;10,69
"2021-12-17";2035-01-02;3276;10,675
"2021-12-17";2036-01-02;3526;10,66
"2021-12-17";2037-01-02;3780;10,738
