"DataRef";"Vencimento";"DU";"Taxa"
"2021-12-10";2021-12-13;1;9,15
"2021-12-10";2022-01-03;16;9,154
"2021-12-10";2022-02-01;37;9,16
"2021-12-10";2022-03-02;56;9,6
"2021-12-10";2022-04-01;78;10,04
"2021-12-10";2022-05-02;97;10,35
"2021-12-10";2022-06-01;119;10,675
"2021-12-10";2022-07-01;140;10,93
"2021-12-10";2022-08-01;161;11,07
"2021-12-10";2022-09-01;184;11,245
"2021-12-10";2022-10-03;205;11,33
"2021-12-10";2022-11-01;225;11,363
"2021-12-10";2022-12-01;245;11,402
"2021-12-10";2023-01-02;267;11,43
"2021-12-10";2023-04-03;330;11,337
"2021-12-10";2023-07-03;391;11,225
"2021-12-10";2023-10-02;455;11,005
"2021-12-10";2024-01-02;516;10,74
"2021-12-10";2024-04-01;577;10,671
"2021-12-10";2024-07-01;640;10,59
"2021-12-10";2024-10-01;706;10,503
"2021-12-10";2025-01-02;770;10,425
"2021-12-10";2025-04-01;831;10,385
"2021-12-10";2025-07-01;892;10,302
"2021-12-10";2025-10-01;958;10,333
"2021-12-10";2026-01-02;1023;10,34
"2021-12-10";2026-04-01;1084;10,37
"2021-12-10";2026-07-01;1145;10,333
"2021-12-10";2026-10-01;1210;10,38
"2021-12-10";2027-01-04;1273;10,34
"2021-12-10";2028-01-03;1524;10,375
"2021-12-10";2029-01-02;1773;10,42
"2021-12-10";2030-01-02;2023;10,5
"2021-12-10";2031-01-02;2276;10,46
"2021-12-10";2033-01-03;2781;10,45
"2021-12-10";2035-01-02;3281;10,435
"2021-12-10";2036-01-02;3531;10,42
"2021-12-10";2037-01-02;3785;10,498
