"DataRef";"Vencimento";"DU";"Taxa"
"2021-11-26";2021-11-29;1;7,65
"2021-11-26";2021-12-01;3;7,68
"2021-11-26";2022-01-03;26;8,7
"2021-11-26";2022-02-01;47;8,956
"2021-11-26";2022-03-02;66;9,46
"2021-11-26";2022-04-01;88;9,995
"2021-11-26";2022-05-02;107;10,43
"2021-11-26";2022-06-01;129;10,8
"2021-11-26";2022-07-01;150;11,1
"2021-11-26";2022-08-01;171;11,314
"2021-11-26";2022-09-01;194;11,481
"2021-11-26";2022-10-03;215;11,61
"2021-11-26";2022-11-01;235;11,654
"2021-11-26";2022-12-01;255;11,78
"2021-11-26";2023-01-02;277;11,9
"2021-11-26";2023-04-03;340;11,95
"2021-11-26";2023-07-03;401;11,955
"2021-11-26";2023-10-02;465;11,896
"2021-11-26";2024-01-02;526;11,78
"2021-11-26";2024-04-01;587;11,775
"2021-11-26";2024-07-01;650;11,76
"2021-11-26";2024-10-01;716;11,74
"2021-11-26";2025-01-02;780;11,73
"2021-11-26";2025-04-01;841;11,682
"2021-11-26";2025-07-01;902;11,613
"2021-11-26";2025-10-01;968;11,647
"2021-11-26";2026-01-02;1033;11,66
"2021-11-26";2026-04-01;1094;11,695
"2021-11-26";2026-07-01;1155;11,655
"2021-11-26";2026-10-01;1220;11,698
"2021-11-26";2027-01-04;1283;11,71
"2021-11-26";2028-01-03;1534;11,7
"2021-11-26";2029-01-02;1783;11,7
"2021-11-26";2030-01-02;2033;11,755
"2021-11-26";2031-01-02;2286;11,69
"2021-11-26";2033-01-03;2791;11,63
"2021-11-26";2035-01-02;3291;11,615
"2021-11-26";2036-01-02;3541;11,57
"2021-11-26";2037-01-02;3795;11,648
