"DataRef";"Vencimento";"DU";"Taxa"
"2022-01-21";2022-01-24;1;9,15
"2022-01-21";2022-02-01;7;9,16
"2022-01-21";2022-03-02;26;10,11
"2022-01-21";2022-04-01;48;10,63
"2022-01-21";2022-05-02;67;11,005
"2022-01-21";2022-06-01;89;11,325
"2022-01-21";2022-07-01;110;11,5
"2022-01-21";2022-08-01;131;11,62
"2022-01-21";2022-09-01;154;11,748
"2022-01-21";2022-10-03;175;11,82
"2022-01-21";2022-11-01;195;11,883
"2022-01-21";2022-12-01;215;11,892
"2022-01-21";2023-01-02;237;11,875
"2022-01-21";2023-04-03;300;11,871
"2022-01-21";2023-07-03;361;11,815
"2022-01-21";2023-10-02;425;11,675
"2022-01-21";2024-01-02;486;11,455
"2022-01-21";2024-04-01;547;11,375
"2022-01-21";2024-07-01;610;11,28
"2022-01-21";2024-10-01;676;11,258
"2022-01-21";2025-01-02;740;11,185
"2022-01-21";2025-04-01;801;11,191
"2022-01-21";2025-07-01;862;11,157
"2022-01-21";2025-10-01;928;11,224
"2022-01-21";2026-01-02;993;11,18
"2022-01-21";2026-04-01;1054;11,207
"2022-01-21";2026-07-01;1115;11,22
"2022-01-21";2026-10-01;1180;11,274
"2022-01-21";2027-01-04;1243;11,3
"2022-01-21";2028-01-03;1494;11,39
"2022-01-21";2029-01-02;1743;11,47
"2022-01-21";2030-01-02;1993;11,48
"2022-01-21";2031-01-02;2246;11,52
"2022-01-21";2033-01-03;2751;11,57
"2022-01-21";2035-01-02;3251;11,57
"2022-01-21";2036-01-02;3501;11,586
"2022-01-21";2037-01-02;3755;11,664
