"DataRef";"Vencimento";"DU";"Taxa"
"2021-11-19";2021-11-22;1;7,65
"2021-11-19";2021-12-01;8;7,654
"2021-11-19";2022-01-03;31;8,588
"2021-11-19";2022-02-01;52;8,904
"2021-11-19";2022-03-02;71;9,5
"2021-11-19";2022-04-01;93;10,075
"2021-11-19";2022-05-02;112;10,545
"2021-11-19";2022-06-01;134;10,94
"2021-11-19";2022-07-01;155;11,24
"2021-11-19";2022-08-01;176;11,474
"2021-11-19";2022-09-01;199;11,66
"2021-11-19";2022-10-03;220;11,81
"2021-11-19";2022-11-01;240;11,899
"2021-11-19";2022-12-01;260;11,978
"2021-11-19";2023-01-02;282;12,05
"2021-11-19";2023-04-03;345;12,148
"2021-11-19";2023-07-03;406;12,15
"2021-11-19";2023-10-02;470;12,1
"2021-11-19";2024-01-02;531;12,02
"2021-11-19";2024-04-01;592;12,005
"2021-11-19";2024-07-01;655;11,98
"2021-11-19";2024-10-01;721;11,95
"2021-11-19";2025-01-02;785;11,93
"2021-11-19";2025-04-01;846;11,911
"2021-11-19";2025-07-01;907;11,835
"2021-11-19";2025-10-01;973;11,862
"2021-11-19";2026-01-02;1038;11,83
"2021-11-19";2026-04-01;1099;11,856
"2021-11-19";2026-07-01;1160;11,805
"2021-11-19";2026-10-01;1225;11,839
"2021-11-19";2027-01-04;1288;11,84
"2021-11-19";2028-01-03;1539;11,83
"2021-11-19";2029-01-02;1788;11,83
"2021-11-19";2030-01-02;2038;11,855
"2021-11-19";2031-01-02;2291;11,76
"2021-11-19";2033-01-03;2796;11,7
"2021-11-19";2035-01-02;3296;11,685
"2021-11-19";2036-01-02;3546;11,64
"2021-11-19";2037-01-02;3800;11,718
